symbol,t_ms,nmse2_db,nmse3_db,max_nmse2_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db,rsrp_wide_max2_db,rsrp_wide_max3_db,rsrp_band_max2_db,rsrp_band_max3_db
0,0,-7.38345,-inf,-2.70751,-inf,0.975705,0,1.2209,0,5.16289,0,15.8547,0
1,0.0356771,-7.38354,-31.5023,-2.70752,-25.7416,0.975684,0.00552468,1.2209,0.0319835,5.18869,0.118851,15.96,0.313685
2,0.0713542,-7.38363,-25.485,-2.70755,-19.7241,0.975658,0.0110491,1.2209,0.0639151,5.21113,0.232451,16.0623,0.628887
4,0.142708,-7.38381,-19.4774,-2.70764,-13.7156,0.975602,0.0220886,1.22097,0.127559,5.24576,0.441198,16.2585,1.25485
7,0.24974,-7.38407,-14.6522,-2.70786,-8.88813,0.97551,0.0386076,1.22095,0.222206,5.27178,0.736031,16.5321,2.15856
10,0.356771,-7.38432,-11.6091,-2.70819,-5.84171,0.975399,0.0550336,1.22097,0.315421,5.26673,1.07821,16.782,3.09058
14,0.499479,-7.38463,-8.78985,-2.70878,-3.01665,0.975222,0.0767189,1.22072,0.436734,5.21318,1.55214,17.0799,4.30641
28,0.998958,-7.3856,-3.40058,-2.71181,2.39796,0.974436,0.149398,1.21845,0.81975,5.16927,3.21173,17.8139,7.95954
56,1.99792,-7.38768,0.143184,-2.71775,5.82511,0.973093,0.271067,1.22293,1.31886,5.10946,5.609,17.609,10.1812
140,4.99479,-7.39623,-0.355735,-2.71163,5.4398,0.972422,0.460505,1.2085,1.64116,4.97154,5.56114,16.3317,14.7123
280,9.98958,-7.39824,0.146354,-2.72917,5.16928,0.971936,0.686551,1.22341,1.95383,5.09485,7.6712,13.9263,14.0856
