symbol,t_ms,nmse2_db,nmse3_db,max_nmse2_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db,rsrp_wide_max2_db,rsrp_wide_max3_db,rsrp_band_max2_db,rsrp_band_max3_db
0,0,-7.38345,-inf,-2.70751,-inf,0.975705,0,1.2209,0,5.16289,0,15.8547,0
1,0.0356771,-7.38346,-53.0848,-2.70751,-47.3243,0.975703,0.000460347,1.22089,0.00266685,5.16517,0.0100886,15.8636,0.0260176
2,0.0713542,-7.38347,-47.0642,-2.70751,-41.3037,0.975702,0.000920706,1.22089,0.00533346,5.16743,0.020145,15.8725,0.052063
4,0.142708,-7.38348,-41.0437,-2.70751,-35.2832,0.975698,0.00184146,1.22089,0.0106659,5.17186,0.0401595,15.8901,0.104231
7,0.24974,-7.38351,-36.1832,-2.70752,-30.4226,0.975693,0.00322264,1.22088,0.0186624,5.17835,0.0699297,15.9165,0.182649
10,0.356771,-7.38353,-33.0856,-2.70752,-27.325,0.975688,0.00460387,1.22089,0.0266561,5.18462,0.0993891,15.9426,0.261229
14,0.499479,-7.38356,-30.1638,-2.70753,-24.4031,0.97568,0.00644548,1.2209,0.0373094,5.19267,0.138167,15.9772,0.366182
28,0.998958,-7.38366,-24.1476,-2.70756,-18.3866,0.975649,0.0128902,1.22089,0.0745438,5.21785,0.269034,16.0958,0.733874
56,1.99792,-7.38387,-18.1447,-2.70768,-12.3825,0.975582,0.0257646,1.22098,0.148694,5.25424,0.504576,16.3214,1.46024
140,4.99479,-7.38445,-10.309,-2.70842,-4.5394,0.975328,0.0641019,1.22084,0.366425,5.25077,1.27368,16.911,3.59659
280,9.98958,-7.3853,-4.72729,-2.71068,1.06307,0.974722,0.125855,1.21939,0.700883,5.11843,2.66791,17.6231,7.1384
