n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.680342,-1.67273,-1.4971,3.01684,3.25706,5.22918,1.05136,4.80617,3.59041
2,0.487443,-3.12076,-2.85678,3.01684,3.25706,3.19055,1.05136,4.11139,3.59041
3,0.351293,-4.5433,-4.23759,3.01684,3.25706,2.09095,1.05136,2.89294,3.59041
4,0.256268,-5.91306,-5.5002,3.01684,3.25706,1.44323,1.05136,2.2209,3.59041
5,0.187201,-7.27692,-6.84593,3.01684,3.25706,1.01531,1.05136,1.71576,3.59041
6,0.135451,-8.68219,-8.18509,3.01684,3.25706,0.719288,1.05136,1.3105,3.59041
7,0.0969298,-10.1354,-9.58726,3.01684,3.25706,0.506627,1.05136,1.00493,3.59041
8,0.0679134,-11.6804,-11.0286,3.01684,3.25706,0.352817,1.05136,0.76005,3.59041
9,0.0462256,-13.3512,-12.6635,3.01684,3.25706,0.241345,1.05136,0.560669,3.59041
10,0.0302367,-15.1947,-14.3946,3.01684,3.25706,0.159444,1.05136,0.397797,3.59041
11,0.01875,-17.27,-16.3675,3.01684,3.25706,0.101783,1.05136,0.273149,3.59041
12,0.0107045,-19.7043,-18.5259,3.01684,3.25706,0.0601017,1.05136,0.17105,3.59041
13,0.0054675,-22.6221,-21.1088,3.01684,3.25706,0.0314364,1.05136,0.101091,3.59041
14,0.002253,-26.4724,-24.584,3.01684,3.25706,0.0138774,1.05136,0.0482618,3.59041
15,0.000588801,-32.3003,-29.4278,3.01684,3.25706,0.00375362,1.05136,0.015395,3.59041
16,2.23942e-32,-316.499,-316.176,3.01684,3.25706,3.92022e-16,1.05136,4.04905e-16,3.59041
