n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.392247,-4.06441,-0.796613,-3.39328,2.4053,2.47456,0.149543,2.58595,0.820461
2,0.262558,-5.80775,-1.69208,-3.39328,2.4053,1.50327,0.149543,1.71378,0.820461
3,0.182574,-7.3856,-2.71182,-3.39328,2.4053,0.974434,0.149543,1.21844,0.820461
4,0.126492,-8.97938,-3.89984,-3.39328,2.4053,0.6675,0.149543,0.938126,0.820461
5,0.0877798,-10.5661,-5.12767,-3.39328,2.4053,0.458372,0.149543,0.727765,0.820461
6,0.0594266,-12.2602,-6.84876,-3.39328,2.4053,0.304086,0.149543,0.557361,0.820461
7,0.0392713,-14.0592,-8.15131,-3.39328,2.4053,0.20163,0.149543,0.423611,0.820461
8,0.0243695,-16.1315,-9.65442,-3.39328,2.4053,0.136245,0.149543,0.303792,0.820461
9,0.0139788,-18.5453,-11.4186,-3.39328,2.4053,0.0833508,0.149543,0.203658,0.820461
10,0.00701408,-21.5403,-13.9929,-3.39328,2.4053,0.0434071,0.149543,0.111797,0.820461
11,0.00325622,-24.8729,-15.7438,-3.39328,2.4053,0.0175191,0.149543,0.058519,0.820461
12,0.00103733,-29.8408,-18.2746,-3.39328,2.4053,0.00580845,0.149543,0.0189377,0.820461
13,0.000322299,-34.9174,-20.799,-3.39328,2.4053,0.00172065,0.149543,0.00707478,0.820461
14,6.03377e-05,-42.1941,-24.0597,-3.39328,2.4053,0.000273945,0.149543,0.000663722,0.820461
15,8.4409e-06,-50.7361,-30.7361,-3.39328,2.4053,3.8708e-05,0.149543,0.000122797,0.820461
16,2.55392e-32,-315.928,-314.077,-3.39328,2.4053,4.41783e-16,0.149543,4.58112e-16,0.820461
