n_dominant,mean_nmse2,mean_nmse2_db,max_nmse2_db,mean_nmse3_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db
1,0.392215,-4.06476,-0.796765,0.145532,5.82652,2.47646,0.27128,2.60092,1.3195
2,0.262507,-5.80859,-1.69175,0.145532,5.82652,1.50424,0.27128,1.72932,1.3195
3,0.182487,-7.38768,-2.71776,0.145532,5.82652,0.973091,0.27128,1.22295,1.3195
4,0.126433,-8.98138,-3.90296,0.145532,5.82652,0.667331,0.27128,0.94168,1.3195
5,0.0877422,-10.5679,-5.13172,0.145532,5.82652,0.458048,0.27128,0.73427,1.3195
6,0.059412,-12.2613,-6.85258,0.145532,5.82652,0.303623,0.27128,0.561957,1.3195
7,0.0392581,-14.0607,-8.15558,0.145532,5.82652,0.201052,0.27128,0.424262,1.3195
8,0.02435,-16.135,-9.65889,0.145532,5.82652,0.135699,0.27128,0.299722,1.3195
9,0.013968,-18.5486,-11.423,0.145532,5.82652,0.0830717,0.27128,0.201396,1.3195
10,0.00700974,-21.543,-13.9867,0.145532,5.82652,0.0432433,0.27128,0.110921,1.3195
11,0.00325501,-24.8745,-15.7378,0.145532,5.82652,0.0174201,0.27128,0.0576039,1.3195
12,0.00103701,-29.8422,-18.2688,0.145532,5.82652,0.00581564,0.27128,0.0189944,1.3195
13,0.000322546,-34.9141,-20.81,0.145532,5.82652,0.00173534,0.27128,0.00709767,1.3195
14,6.02641e-05,-42.1994,-24.0708,0.145532,5.82652,0.000274772,0.27128,0.000634202,1.3195
15,8.41981e-06,-50.747,-30.747,0.145532,5.82652,3.8667e-05,0.27128,0.000110406,1.3195
16,2.55549e-32,-315.925,-314.058,0.145532,5.82652,4.52914e-16,0.27128,4.56831e-16,1.3195
