symbol,t_ms,nmse2_db,nmse3_db,max_nmse2_db,max_nmse3_db,rsrp_wide_err2_db,rsrp_wide_err3_db,rsrp_band_err2_db,rsrp_band_err3_db,rsrp_wide_max2_db,rsrp_wide_max3_db,rsrp_band_max2_db,rsrp_band_max3_db
0,0,-7.38345,-inf,-2.70751,-inf,0.975705,0,1.2209,0,5.16289,0,15.8547,0
1,0.0356771,-7.3835,-37.5221,-2.70752,-31.7615,0.975695,0.00276224,1.22088,0.0159972,5.17621,0.0600403,15.9077,0.156489
2,0.0713542,-7.38354,-31.5023,-2.70752,-25.7416,0.975684,0.00552468,1.2209,0.0319835,5.18869,0.118851,15.96,0.313685
4,0.142708,-7.38363,-25.485,-2.70755,-19.7241,0.975658,0.0110491,1.2209,0.0639151,5.21113,0.232451,16.0623,0.628887
7,0.24974,-7.38377,-20.6331,-2.70761,-14.8716,0.975616,0.0193305,1.22094,0.111677,5.23839,0.39153,16.2105,1.09951
10,0.356771,-7.3839,-17.5489,-2.7077,-11.7864,0.975572,0.0276018,1.22098,0.159241,5.2579,0.534989,16.3524,1.56208
14,0.499479,-7.38407,-14.6522,-2.70786,-8.88813,0.97551,0.0386076,1.22095,0.222206,5.27178,0.736031,16.5321,2.15856
28,0.998958,-7.38463,-8.78985,-2.70878,-3.01665,0.975222,0.0767189,1.22072,0.436734,5.21318,1.55214,17.0799,4.30641
56,1.99792,-7.3856,-3.40058,-2.71181,2.39796,0.974436,0.149398,1.21845,0.81975,5.16927,3.21173,17.8139,7.95954
140,4.99479,-7.38926,0.338298,-2.71831,5.92585,0.972948,0.317427,1.22152,1.43157,5.03135,5.90171,16.4922,11.1987
280,9.98958,-7.39623,-0.355735,-2.71163,5.4398,0.972422,0.460505,1.2085,1.64116,4.97154,5.56114,16.3317,14.7123
